2022-12-15 17:23:50,073 TRACE   org.springframework.core.io.support.SpringFactoriesLoader - Loaded [org.springframework.boot.logging.LoggingSystemFactory] names: [org.springframework.boot.logging.logback.LogbackLoggingSystem.Factory, org.springframework.boot.logging.log4j2.Log4J2LoggingSystem.Factory, org.springframework.boot.logging.java.JavaLoggingSystem.Factory]
2022-12-15 17:23:50,378 TRACE   org.springframework.core.io.support.SpringFactoriesLoader - Loaded [org.springframework.boot.ApplicationContextFactory] names: [org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext.Factory, org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext.Factory]
2022-12-15 17:23:50,460 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2022-12-15 17:23:50,473 INFO    AwesomeCalendar.SpringApp - Starting SpringApp using Java 19.0.1 on LAPTOP-CQ3FU19M with PID 13100 (C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes started by ariel in C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side)
2022-12-15 17:23:50,477 DEBUG   AwesomeCalendar.SpringApp - Running with Spring Boot v2.7.5, Spring v5.3.23
2022-12-15 17:23:50,478 INFO    AwesomeCalendar.SpringApp - No active profile set, falling back to 1 default profile: "default"
2022-12-15 17:23:50,478 DEBUG   org.springframework.boot.SpringApplication - Loading source class AwesomeCalendar.SpringApp
2022-12-15 17:23:50,490 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2022-12-15 17:23:50,532 TRACE   org.springframework.boot.env.EnvironmentPostProcessor - RandomValuePropertySource add to Environment
2022-12-15 17:23:50,533 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentPostProcessor - Post-processing environment to add config data
2022-12-15 17:23:50,533 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Building config data environment contributors
2022-12-15 17:23:50,533 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Creating wrapped config data contributor for 'configurationProperties'
2022-12-15 17:23:50,533 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Creating wrapped config data contributor for 'servletConfigInitParams'
2022-12-15 17:23:50,534 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Creating wrapped config data contributor for 'servletContextInitParams'
2022-12-15 17:23:50,534 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Creating wrapped config data contributor for 'systemProperties'
2022-12-15 17:23:50,534 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Creating wrapped config data contributor for 'systemEnvironment'
2022-12-15 17:23:50,534 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Creating wrapped config data contributor for 'random'
2022-12-15 17:23:50,535 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Adding initial config data import from location 'optional:file:./;optional:file:./config/;optional:file:./config/*/'
2022-12-15 17:23:50,535 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Adding initial config data import from location 'optional:classpath:/;optional:classpath:/config/'
2022-12-15 17:23:50,535 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Processing initial config data environment contributors without activation context
2022-12-15 17:23:50,535 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processing imports for phase BEFORE_PROFILE_ACTIVATION. no activation context
2022-12-15 17:23:50,535 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processing imports [optional:file:./;optional:file:./config/;optional:file:./config/*/]
2022-12-15 17:23:50,535 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application.yaml
2022-12-15 17:23:50,536 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application.yml
2022-12-15 17:23:50,536 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application.xml
2022-12-15 17:23:50,536 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application.properties
2022-12-15 17:23:50,536 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application.yaml
2022-12-15 17:23:50,536 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application.yml
2022-12-15 17:23:50,537 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application.xml
2022-12-15 17:23:50,537 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application.properties
2022-12-15 17:23:50,537 TRACE   org.springframework.boot.context.config.ConfigDataLoaders - Loading file [.] using loader org.springframework.boot.context.config.StandardConfigDataLoader
2022-12-15 17:23:50,537 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Imported 1 resource [file [.]]
2022-12-15 17:23:50,538 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processing imports [optional:classpath:/;optional:classpath:/config/]
2022-12-15 17:23:50,539 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application.yaml
2022-12-15 17:23:50,539 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application.yml
2022-12-15 17:23:50,539 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application.xml
2022-12-15 17:23:50,539 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application.yaml
2022-12-15 17:23:50,540 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application.yml
2022-12-15 17:23:50,540 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application.xml
2022-12-15 17:23:50,540 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application.properties
2022-12-15 17:23:50,540 TRACE   org.springframework.boot.context.config.ConfigDataLoaders - Loading class path resource [application.properties] using loader org.springframework.boot.context.config.StandardConfigDataLoader
